water,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
19.9300003,2.08728,2.0819199,2.07669,2.0716,2.06669,2.06201,2.05755,2.0533299,2.0493701,2.04567,2.0422499,2.0391099,2.0362699,2.0337701,2.03163,2.0299001,2.0286,2.0277801,2.0274301,2.02753,2.0280499,2.0288999,2.03003,2.03141,2.03302,2.0348501,2.03687,2.039,2.0411799,2.0432601,2.0450699,2.0464001,2.0471201,2.04719,2.0466499,2.0455899,2.0441401,2.0423999,2.0404899,2.0385599,2.03672,2.0350599,2.0336699,2.03263,2.0320799,2.0322299,2.0332601,2.0353301,2.0386701,2.0434799,2.05002,2.0585001,2.0689499,2.0810299,2.0941501,2.10765,2.1210101,2.1340201,2.1466899,2.1591001,2.1712899,2.18325,2.19489,2.2060699,2.2165501,2.2260799,2.23441,2.2413599,2.2469001,2.25106,2.2539001,2.2555399,2.2560999,2.2556801,2.2543499,2.2522299,2.2494299,2.2460799,2.24226,2.2380199,2.2334099,2.2284601,2.2232001,2.2176199,2.2116799,2.20538,2.19875,2.1918499,2.1847601,2.1775301,2.1702099,2.1628101,2.15534,2.1478901,2.1405101,2.13326,2.1261401,2.1191599,2.1123099,2.1055701
19.9400005,2.17067,2.1649599,2.1594,2.1540101,2.1487999,2.14381,2.13907,2.1345899,2.1303899,2.1264801,2.12288,2.11958,2.1166,2.1139801,2.1117599,2.1099801,2.10867,2.1078701,2.1075799,2.10778,2.1084099,2.10941,2.1107099,2.1122701,2.11409,2.1161301,2.1183701,2.1207299,2.1231401,2.1254499,2.12747,2.1289899,2.1298499,2.1300199,2.12953,2.1285,2.1270399,2.1252601,2.1233201,2.12135,2.1194899,2.11783,2.1164601,2.1154699,2.11502,2.11532,2.11656,2.1189301,2.1226799,2.1280301,2.1352401,2.1445501,2.1559901,2.1691899,2.1835001,2.1982,2.2127299,2.22685,2.2405801,2.2539999,2.26718,2.2801001,2.29266,2.3047199,2.31602,2.3262901,2.3352599,2.3427501,2.3487101,2.3531699,2.35624,2.358,2.3586001,2.35815,2.35672,2.3544199,2.3514099,2.34781,2.3436999,2.3391299,2.3341701,2.32886,2.32321,2.31721,2.3108301,2.30407,2.2969599,2.2895601,2.28197,2.27423,2.2663801,2.25844,2.2504599,2.2425101,2.2346301,2.2268801,2.21929,2.2118499,2.20456,2.1973901
31.9899998,2.1103401,2.10604,2.10183,2.0976901,2.0936899,2.0898399,2.0861499,2.0826299,2.0792899,2.0761499,2.0732501,2.07056,2.06811,2.0659201,2.0640299,2.0624599,2.0612299,2.0603299,2.0597701,2.05951,2.05953,2.0597801,2.06021,2.06078,2.0615201,2.0624199,2.0634799,2.0646501,2.0658901,2.0671401,2.06827,2.06917,2.0697801,2.0701001,2.0702,2.0701699,2.0701301,2.07019,2.0704801,2.07112,2.0722001,2.07375,2.07582,2.07846,2.0817201,2.0857501,2.0906899,2.09677,2.10427,2.1135001,2.1247499,2.13817,2.15345,2.1698101,2.18613,2.2014,2.21505,2.2270801,2.2377501,2.2474201,2.25635,2.2646899,2.27246,2.2795601,2.2858701,2.2911899,2.2953901,2.2983601,2.3001101,2.30073,2.3002901,2.2988701,2.2965801,2.2934999,2.28971,2.28529,2.28035,2.2749701,2.2692001,2.2630901,2.25666,2.2499499,2.24297,2.2357099,2.2281799,2.2203801,2.2123699,2.20418,2.1959,2.1875701,2.17922,2.1708801,2.16259,2.1543801,2.1463001,2.1384101,2.1307199,2.12324,2.1159601,2.10888
33.1500015,2.059,2.0550399,2.0511601,2.04737,2.04369,2.0401499,2.0367799,2.0336001,2.0306101,2.0278201,2.0252399,2.0228801,2.0207601,2.0189199,2.01739,2.01617,2.01528,2.01472,2.0144999,2.0146,2.01495,2.0155301,2.0162799,2.01719,2.01825,2.0194499,2.0208099,2.02228,2.0238099,2.0253501,2.0267701,2.0279701,2.0288701,2.0295,2.0299001,2.03019,2.0304799,2.0309,2.0315599,2.0325899,2.03407,2.0360501,2.0385699,2.0416501,2.0453601,2.04985,2.0552599,2.06182,2.0697899,2.07951,2.09128,2.1052201,2.1210401,2.1378901,2.1546199,2.1702099,2.1840801,2.1962299,2.20698,2.21668,2.22562,2.2339401,2.2416601,2.2487099,2.25495,2.2602,2.2643299,2.26722,2.2689199,2.26946,2.26896,2.2674899,2.2651701,2.26208,2.25828,2.25386,2.24891,2.24352,2.2377601,2.2316599,2.22524,2.2185299,2.21155,2.2042999,2.19679,2.1890199,2.18103,2.1728699,2.1646199,2.1563301,2.14803,2.13973,2.13147,2.1233101,2.11531,2.1074901,2.09987,2.0924699,2.08529,2.07832
30,1.99555,1.9923,1.98912,1.98604,1.98305,1.98019,1.97747,1.97492,1.97253,1.97031,1.9682801,1.96644,1.96481,1.96341,1.96225,1.96139,1.9608099,1.96053,1.9605401,1.96083,1.96136,1.96208,1.96295,1.96395,1.96508,1.9663401,1.9677,1.9691401,1.9706299,1.97208,1.9734,1.97448,1.97526,1.97574,1.97597,1.97604,1.97605,1.9760799,1.9762599,1.97667,1.9774001,1.9785,1.97999,1.9819,1.98432,1.98735,1.99115,1.99588,2.00176,2.0090301,2.0179501,2.0286701,2.0409601,2.0541999,2.0675399,2.0801699,2.09164,2.1018901,2.11114,2.1196301,2.1275501,2.135,2.1419699,2.1484001,2.15417,2.1591101,2.1631,2.1660399,2.1679699,2.1689,2.1689301,2.1681299,2.16658,2.1643701,2.16155,2.15821,2.1544001,2.1501999,2.14568,2.1408701,2.1357999,2.1304801,2.1249299,2.1191399,2.1131301,2.1068799,2.10042,2.0938201,2.0871201,2.08038,2.0736101,2.0668299,2.06007,2.05337,2.0467801,2.0403299,2.03403,2.0279,2.02192,2.0160899
19.9300003,2.0348599,2.0297599,2.02478,2.0199399,2.01529,2.0108299,2.0065899,2.0025899,1.9988401,1.99537,1.9921501,1.98921,1.98656,1.98423,1.98226,1.9807,1.97955,1.97886,1.9786201,1.97884,1.97945,1.9803901,1.98159,1.9830301,1.9847,1.98658,1.9886301,1.99079,1.993,1.99512,1.9969699,1.99835,1.99915,1.99933,1.9988999,1.9979701,1.99665,1.99505,1.9933,1.99151,1.98981,1.9883101,1.9870701,1.9861801,1.98578,1.98605,1.98719,1.9893601,1.99277,1.99764,2.0042,2.01266,2.0230601,2.0350499,2.0480499,2.06141,2.07462,2.0874701,2.0999601,2.11219,2.1241901,2.1359601,2.1474199,2.1584301,2.1687601,2.17816,2.1863899,2.19327,2.1987801,2.2029099,2.20576,2.2074201,2.20801,2.2076499,2.2063899,2.20434,2.2016301,2.19836,2.1946299,2.19049,2.1859801,2.1811399,2.1759901,2.1705201,2.16471,2.15856,2.15207,2.1453199,2.1383801,2.13131,2.12414,2.1169,2.1096101,2.10233,2.09512,2.0880401,2.0811,2.0743001,2.0676301,2.06108
19.7999992,2.14625,2.1405599,2.13502,2.1296401,2.1244299,2.1194501,2.1147299,2.11026,2.1060801,2.10217,2.0985601,2.0952599,2.0922799,2.0896599,2.08743,2.08564,2.0843301,2.0835199,2.08321,2.0834,2.0840199,2.085,2.0862899,2.0878501,2.0896599,2.0917001,2.09393,2.0963099,2.0987301,2.1010499,2.10306,2.1045699,2.1054201,2.1055701,2.1050601,2.1039901,2.1024899,2.1006701,2.09867,2.0966201,2.09466,2.09288,2.0913899,2.0902901,2.0897,2.08986,2.09095,2.09319,2.09677,2.1019399,2.1089401,2.11801,2.1292,2.1421299,2.1561999,2.1707101,2.1850901,2.19911,2.2128,2.2262199,2.23943,2.2523899,2.2650199,2.2771599,2.2885699,2.29896,2.3080599,2.31569,2.32179,2.3264101,2.3296101,2.3315401,2.3322899,2.33198,2.3306999,2.3285699,2.3257101,2.3222399,2.31827,2.3138499,2.3090401,2.3038599,2.2983401,2.29248,2.2862501,2.27964,2.27268,2.2653999,2.25792,2.2503099,2.2426,2.2348001,2.2269499,2.21911,2.2113299,2.2037001,2.1962199,2.18889,2.18171,2.1746399
19.6299992,2.11222,2.10673,2.1013899,2.09623,2.0912499,2.0864699,2.0819399,2.0776801,2.0736899,2.0699699,2.06655,2.0634201,2.0606101,2.05813,2.05601,2.0543201,2.0530701,2.05231,2.0520401,2.0522699,2.0529399,2.0539601,2.0552499,2.0567901,2.0585699,2.06059,2.0628099,2.06516,2.0675299,2.0697999,2.07178,2.0732801,2.0741501,2.0743499,2.07392,2.0729799,2.07163,2.0699899,2.0682001,2.0664201,2.06475,2.0632999,2.06213,2.0613501,2.06109,2.0615399,2.0628901,2.06534,2.0691099,2.07443,2.0815699,2.09077,2.1020601,2.1150701,2.1291499,2.1436,2.15786,2.17171,2.1851599,2.1983099,2.2112,2.22382,2.2360799,2.2477901,2.25875,2.2686701,2.2772701,2.2843699,2.2899399,2.29405,2.2967901,2.29827,2.29862,2.29794,2.29633,2.29389,2.2907701,2.2870901,2.2829499,2.2783799,2.2734399,2.2681501,2.2625401,2.2566099,2.25033,2.2437,2.2367301,2.2295101,2.2221,2.21457,2.2069399,2.19925,2.19153,2.18383,2.1761999,2.16871,2.16137,2.15418,2.14715,2.14026
21.1100006,2.08672,2.0819199,2.07724,2.07267,2.06827,2.06407,2.0600901,2.05636,2.05288,2.04966,2.04671,2.04406,2.0417399,2.0397699,2.0381999,2.0370901,2.0364499,2.03633,2.03671,2.03758,2.0388501,2.0404501,2.04228,2.0443399,2.0466101,2.0490899,2.05178,2.05463,2.05756,2.06043,2.06304,2.0651801,2.06669,2.06756,2.0678401,2.0676601,2.0671301,2.06634,2.0654099,2.06446,2.0636301,2.06306,2.06282,2.0629699,2.0636301,2.0650101,2.0673499,2.0708599,2.0757799,2.08234,2.0908301,2.1015,2.11431,2.1288099,2.1442299,2.15976,2.1747999,2.1891401,2.2028401,2.2160599,2.2288799,2.2413101,2.2532699,2.26459,2.2750599,2.28443,2.29248,2.2990401,2.30409,2.3076899,2.3099499,2.3109801,2.31089,2.3098099,2.3078201,2.3050101,2.3014901,2.29737,2.2927499,2.2876899,2.2822299,2.2764101,2.2702999,2.26388,2.2571201,2.2500501,2.2426701,2.23506,2.2272999,2.21943,2.2114999,2.2035,2.1954601,2.1874599,2.17958,2.17186,2.1643,2.1569099,2.1496899,2.1426201
19.8799992,2.1302199,2.1246099,2.1191399,2.1138401,2.1087599,2.10391,2.0992899,2.0949099,2.09079,2.0869601,2.0834301,2.0801799,2.07724,2.07463,2.0723801,2.07055,2.06914,2.0682099,2.06776,2.0678101,2.06831,2.0692,2.0704,2.0718501,2.07357,2.0755301,2.0777099,2.08002,2.08237,2.08464,2.0866399,2.08813,2.08898,2.0891399,2.08866,2.0876601,2.0862501,2.0845599,2.0827301,2.0808799,2.0791299,2.0775599,2.0762601,2.07534,2.07493,2.0752301,2.0764201,2.0787101,2.08234,2.0875399,2.0945401,2.10358,2.1147001,2.1275401,2.1414599,2.15574,2.1698401,2.1835499,2.1969199,2.2100301,2.2229099,2.2355499,2.2478299,2.2596099,2.2706299,2.2806001,2.2892699,2.2964599,2.30213,2.30634,2.30919,2.3108001,2.31129,2.3107901,2.30936,2.3071101,2.3041501,2.3006301,2.2966399,2.2922301,2.2874501,2.28233,2.27689,2.2711,2.26491,2.2583201,2.2514,2.24421,2.23681,2.2293,2.22173,2.2140901,2.2064099,2.19874,2.19115,2.1837101,2.17642,2.1692801,2.1622801,2.15539
